History - Class-08 | Med.India | Tuglaq Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6364897185112/6364897185112.m3u8
History - Class-09 | Med.India | Tuglaq Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6364942790112/6364942790112.m3u8
History - Class-10 | Med.India | Lodhi Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6364986742112/6364986742112.m3u8
History - Class-11 | Med.India | Practice Set: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365038777112/6365038777112.m3u8
History - Class-12 | Med.India | Practice Set: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365083595112/6365083595112.m3u8
History - Class-13 | Med.India | Mughal Empire: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365155804112/6365155804112.m3u8
History - Class-14 | Med.India | Mughal Period: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365201941112/6365201941112.m3u8
History - Class-15 | Med.India | Humayun & Suri Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365244070112/6365244070112.m3u8
History - Class-16 | Med.India | Suri Dynasty: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365290310112/6365290310112.m3u8
History - Class-17 | Med.India | Akbar: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365320861112/6365320861112.m3u8
History - Class-18 | Med.India | Akbar: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365412722112/6365412722112.m3u8
History - Class-19 | Med.India | Akbar: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365453095112/6365453095112.m3u8
History - Class-20 | Med.India | Jahangir: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365507627112/6365507627112.m3u8
History - Class-21 | Med.India | Shahjah: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365569383112/6365569383112.m3u8
History - Class-22 | Med.India | Aurangzeb: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365619649112/6365619649112.m3u8
History - Class-23 | Med.India | Downfall of Mughals: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365667657112/6365667657112.m3u8
History - Class-24 | Med.India | Downfall of Mughals: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365745110112/6365745110112.m3u8
History - Class-25 | Med.India | Downfall of Mughals: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365789486112/6365789486112.m3u8
History - Class-26 | Med.India | Downfall of Mughals: https://d14v4v80cpjht7.cloudfront.net/file_library/videos/migration/brightcove/6365835596112/6365835596112.m3u8
